type,sector_id,start_lat,start_long,end_lat,end_long,tag,title,description,metric,threshold,optimal_value
Ideal,13,38.1631409,-122.4627438,38.1636922,-122.4632696,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,100.35768861512318,107.07
Ideal,14,38.1637067,-122.4632815,38.164297000000005,-122.4632158,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,76.08157391673747,79.67
Ideal,15,38.1643094,-122.463196,38.1645113,-122.4623564,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,84.30057476635514,86.82
Ideal,16,38.1645161,-122.4623347,38.1644929,-122.4614625,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,124.89183517417163,127.56
Ideal,17,38.1644899,-122.4614423,38.1641171,-122.46071690000001,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,139.9461367884452,142.96
Ideal,18,38.164102699999994,-122.4607045,38.163525,-122.4602321,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,150.33955352591335,155.62
Ideal,18,38.164102699999994,-122.4607045,38.163525,-122.4602321,Acceleration,"Reduce coasting time","You are spending too much time transitioning from brake to throttle. Try to blend the pedals smoother and faster.",coasting_time,0.3,0.05
Ideal,19,38.163510200000005,-122.46022119999999,38.1629312,-122.4597319,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,128.97168096856416,134.91
Ideal,20,38.162913499999995,-122.459715,38.1625805,-122.4589755,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,113.73460577740018,117.18
Ideal,21,38.1625844,-122.4589526,38.162914799999996,-122.4582295,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,112.50840781648259,115.67
Ideal,21,38.1625844,-122.4589526,38.162914799999996,-122.4582295,Acceleration,"Reduce coasting time","You are spending too much time transitioning from brake to throttle. Try to blend the pedals smoother and faster.",coasting_time,0.3,0.03
Ideal,22,38.162932,-122.45822150000001,38.1635823,-122.458118,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,117.06616949872557,121.13
Ideal,23,38.163600100000004,-122.4581287,38.16418,-122.4586113,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,127.8717158028887,130.68
Ideal,24,38.1641886,-122.4586253,38.1646006,-122.45932979999999,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,141.82115845369583,146.39
Ideal,25,38.1646095,-122.45934609999999,38.1649836,-122.4601026,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,153.35495242141036,157.88
Ideal,26,38.1649936,-122.4601252,38.165304500000005,-122.4608891,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,161.75401019541204,165.58
Ideal,27,38.165314699999996,-122.4609146,38.1656414,-122.4617061,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,153.94531138487682,165.46
Ideal,28,38.1656496,-122.46172750000001,38.165983399999995,-122.46250839999999,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,82.93529651656755,90.62
Ideal,29,38.1659951,-122.46252120000001,38.166543499999996,-122.4622831,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,69.94258028887,72.33
Ideal,30,38.1665484,-122.4622597,38.1662815,-122.46151400000001,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,81.3424150382328,83.07
Ideal,31,38.1662662,-122.46149770000001,38.165834600000004,-122.4608044,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,114.30605480033985,117.48
Ideal,32,38.1658239,-122.46078059999999,38.165509199999995,-122.4599873,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,134.2122039082413,138.14
Ideal,33,38.1654963,-122.4599659,38.1650486,-122.459312,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,136.74253483432454,141.98
Ideal,34,38.1650385,-122.4592865,38.1648924,-122.4584297,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,135.00795454545454,138.83
Ideal,34,38.1650385,-122.4592865,38.1648924,-122.4584297,Acceleration,"Get back on the throttle earlier","Optimal laps show earlier acceleration out of this corner.",throttle_start_percent,0.08290871065732054,0.01
Ideal,35,38.164890199999995,-122.4584021,38.1646244,-122.4575938,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,137.58501699235342,141.47
Ideal,36,38.164611300000004,-122.457572,38.1640921,-122.4570059,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,140.45274129141887,144.01
Ideal,37,38.1640723,-122.4569907,38.1634581,-122.4565769,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,155.96618479184366,160.39
Ideal,38,38.163438899999996,-122.4565578,38.1629729,-122.4559436,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,167.0833844519966,171.43
Ideal,39,38.162956,-122.45591680000001,38.1625888,-122.4551715,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,171.66702293967717,177.68
Ideal,39,38.162956,-122.45591680000001,38.1625888,-122.4551715,Acceleration,"Reduce coasting time","You are spending too much time transitioning from brake to throttle. Try to blend the pedals smoother and faster.",coasting_time,0.3,0
Ideal,40,38.1625799,-122.4551438,38.1624025,-122.45429340000001,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,162.34341461342396,169.68
Ideal,41,38.162399,-122.4542706,38.1621266,-122.4534511,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,143.44361257434156,150.39
Ideal,41,38.162399,-122.4542706,38.1621266,-122.4534511,Acceleration,"Get back on the throttle earlier","Optimal laps show earlier acceleration out of this corner.",throttle_start_percent,0.5954030479758787,0.49
Ideal,42,38.1621175,-122.4534365,38.1615617,-122.4529271,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,142.11503313508922,147.78
Ideal,43,38.1615461,-122.4529187,38.1608876,-122.4526312,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,148.3976886151232,151.55
Ideal,44,38.1608668,-122.4526233,38.1602117,-122.4523743,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,160.81069498725572,165.4
Ideal,44,38.1608668,-122.4526233,38.1602117,-122.4523743,Acceleration,"Reduce coasting time","You are spending too much time transitioning from brake to throttle. Try to blend the pedals smoother and faster.",coasting_time,0.3,0
Ideal,45,38.1601914,-122.4523664,38.1595278,-122.45209580000001,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,138.21631690739167,147.8
Ideal,46,38.1595053,-122.45208699999999,38.158825099999994,-122.45189699999999,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,64.53420305862362,67.79
Ideal,47,38.158810700000004,-122.451902,38.1589038,-122.4525735,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,59.71988870008496,61.21
Ideal,48,38.158922100000005,-122.4525868,38.1595738,-122.4528406,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,85.76210492778249,89.29
Ideal,49,38.1596031,-122.4528486,38.160249799999995,-122.4531307,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,122.11283517417162,124.3
Ideal,50,38.1602805,-122.45315099999999,38.160842099999996,-122.4536718,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,138.78830161427356,140.97
Physics,1,38.1608385,-122.4539478,38.161278,-122.4546495,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,2,38.1612863,-122.4546631,38.161721299999996,-122.4553535,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,8,38.161112200000005,-122.4593339,38.1615474,-122.4600042,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,9,38.1615624,-122.4600171,38.1620805,-122.4605594,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,13,38.1631409,-122.4627438,38.1636922,-122.4632696,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,16,38.1645161,-122.4623347,38.1644929,-122.4614625,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,19,38.163510200000005,-122.46022119999999,38.1629312,-122.4597319,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,24,38.1641886,-122.4586253,38.1646006,-122.45932979999999,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,25,38.1646095,-122.45934609999999,38.1649836,-122.4601026,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,26,38.1649936,-122.4601252,38.165304500000005,-122.4608891,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,27,38.165314699999996,-122.4609146,38.1656414,-122.4617061,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,28,38.1656496,-122.46172750000001,38.165983399999995,-122.46250839999999,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,31,38.1662662,-122.46149770000001,38.165834600000004,-122.4608044,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,32,38.1658239,-122.46078059999999,38.165509199999995,-122.4599873,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,33,38.1654963,-122.4599659,38.1650486,-122.459312,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,37,38.1640723,-122.4569907,38.1634581,-122.4565769,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,38,38.163438899999996,-122.4565578,38.1629729,-122.4559436,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,39,38.162956,-122.45591680000001,38.1625888,-122.4551715,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,40,38.1625799,-122.4551438,38.1624025,-122.45429340000001,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,41,38.162399,-122.4542706,38.1621266,-122.4534511,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,42,38.1621175,-122.4534365,38.1615617,-122.4529271,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,43,38.1615461,-122.4529187,38.1608876,-122.4526312,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,44,38.1608668,-122.4526233,38.1602117,-122.4523743,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,45,38.1601914,-122.4523664,38.1595278,-122.45209580000001,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,48,38.158922100000005,-122.4525868,38.1595738,-122.4528406,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,49,38.1596031,-122.4528486,38.160249799999995,-122.4531307,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
Physics,50,38.1602805,-122.45315099999999,38.160842099999996,-122.4536718,Traction,"Under-utilizing Grip","You have more grip available. Push harder through the corners to maximize the friction circle.",max_comboacc,1,1.2
